,Date Time,Apple_Price,Apple_Vol.
1242,2019-02-04,42.81,125980000.0
1241,2019-02-05,43.55,144410000.0
1240,2019-02-06,43.56,112960000.0
1239,2019-02-07,42.73,126970000.0
1238,2019-02-08,42.6,95280000.0
1237,2019-02-11,42.36,83970000.0
1236,2019-02-12,42.72,89130000.0
1235,2019-02-13,42.55,89960000.0
1234,2019-02-14,42.7,87340000.0
1233,2019-02-15,42.6,98510000.0
1232,2019-02-19,42.73,75890000.0
1231,2019-02-20,43.01,104460000.0
1230,2019-02-21,42.77,69000000.0
1229,2019-02-22,43.24,75650000.0
1228,2019-02-25,43.56,87490000.0
1227,2019-02-26,43.58,68280000.0
1226,2019-02-27,43.72,111340000.0
1225,2019-02-28,43.29,112860000.0
1224,2019-03-01,43.74,103540000.0
1223,2019-03-04,43.96,109740000.0
1222,2019-03-05,43.88,78950000.0
1221,2019-03-06,43.63,83240000.0
1220,2019-03-07,43.12,99190000.0
1219,2019-03-08,43.23,96000000.0
1218,2019-03-11,44.73,128040000.0
1217,2019-03-12,45.23,129870000.0
1216,2019-03-13,45.43,124130000.0
1215,2019-03-14,45.93,94320000.0
1214,2019-03-15,46.53,156170000.0
1213,2019-03-18,47.01,104880000.0
1212,2019-03-19,46.63,126590000.0
1211,2019-03-20,47.04,124140000.0
1210,2019-03-21,48.77,204140000.0
1209,2019-03-22,47.76,169630000.0
1208,2019-03-25,47.19,175380000.0
1207,2019-03-26,46.7,199200000.0
1206,2019-03-27,47.12,119390000.0
1205,2019-03-28,47.18,83120000.0
1204,2019-03-29,47.49,94260000.0
1203,2019-04-01,47.81,111450000.0
1202,2019-04-02,48.51,91060000.0
1201,2019-04-03,48.84,93090000.0
1200,2019-04-04,48.92,76460000.0
1199,2019-04-05,49.25,74110000.0
1198,2019-04-08,50.02,103530000.0
1197,2019-04-09,49.88,143070000.0
1196,2019-04-10,50.16,86780000.0
1195,2019-04-11,49.74,83600000.0
1194,2019-04-12,49.72,111040000.0
1193,2019-04-15,49.81,70150000.0
1192,2019-04-16,49.81,102790000.0
1191,2019-04-17,50.78,115630000.0
1190,2019-04-18,50.97,96780000.0
1189,2019-04-22,51.13,77760000.0
1188,2019-04-23,51.87,93290000.0
1187,2019-04-24,51.79,70160000.0
1186,2019-04-25,51.32,74170000.0
1185,2019-04-26,51.08,74600000.0
1184,2019-04-29,51.15,88820000.0
1183,2019-04-30,50.17,186140000.0
1182,2019-05-01,52.63,259310000.0
1181,2019-05-02,52.29,127990000.0
1180,2019-05-03,52.94,83570000.0
1179,2019-05-06,52.12,129770000.0
1178,2019-05-07,50.72,155050000.0
1177,2019-05-08,50.73,105360000.0
1176,2019-05-09,50.18,139630000.0
1175,2019-05-10,49.3,164830000.0
1174,2019-05-13,46.43,229720000.0
1173,2019-05-14,47.16,146120000.0
1172,2019-05-15,47.73,106180000.0
1171,2019-05-16,47.52,132130000.0
1170,2019-05-17,47.25,131520000.0
1169,2019-05-20,45.77,154450000.0
1168,2019-05-21,46.65,113460000.0
1167,2019-05-22,45.7,118990000.0
1166,2019-05-23,44.91,146120000.0
1165,2019-05-24,44.74,94860000.0
1164,2019-05-28,44.56,111790000.0
1163,2019-05-29,44.34,113920000.0
1162,2019-05-30,44.58,84870000.0
1161,2019-05-31,43.77,108170000.0
1160,2019-06-03,43.33,161580000.0
1159,2019-06-04,44.91,123870000.0
1158,2019-06-05,45.63,119090000.0
1157,2019-06-06,46.3,90110000.0
1156,2019-06-07,47.54,122740000.0
1155,2019-06-10,48.15,104880000.0
1154,2019-06-11,48.7,107730000.0
1153,2019-06-12,48.55,73010000.0
1152,2019-06-13,48.54,86700000.0
1151,2019-06-14,48.19,75050000.0
1150,2019-06-17,48.47,58680000.0
1149,2019-06-18,49.61,106200000.0
1148,2019-06-19,49.47,84500000.0
1147,2019-06-20,49.87,86060000.0
1146,2019-06-21,49.7,191200000.0
1145,2019-06-24,49.65,72880000.0
1144,2019-06-25,48.89,84280000.0
1143,2019-06-26,49.95,104270000.0
1142,2019-06-27,49.94,83600000.0
1141,2019-06-28,49.48,124440000.0
1140,2019-07-01,50.39,109270000.0
1139,2019-07-02,50.68,67740000.0
1138,2019-07-03,51.1,45450000.0
1137,2019-07-05,51.06,69060000.0
1136,2019-07-08,50.01,101350000.0
1135,2019-07-09,50.31,82310000.0
1134,2019-07-10,50.81,71590000.0
1133,2019-07-11,50.44,80770000.0
1132,2019-07-12,50.83,70380000.0
1131,2019-07-15,51.3,67790000.0
1130,2019-07-16,51.12,67470000.0
1129,2019-07-17,50.84,56430000.0
1128,2019-07-18,51.41,74330000.0
1127,2019-07-19,50.65,83720000.0
1126,2019-07-22,51.8,89110000.0
1125,2019-07-23,52.21,73420000.0
1124,2019-07-24,52.17,59970000.0
1123,2019-07-25,51.76,55640000.0
1122,2019-07-26,51.94,70480000.0
1121,2019-07-29,52.42,86690000.0
1120,2019-07-30,52.2,135740000.0
1119,2019-07-31,53.26,277130000.0
1118,2019-08-01,52.11,216070000.0
1117,2019-08-02,51.01,163450000.0
1116,2019-08-05,48.34,209570000.0
1115,2019-08-06,49.25,143300000.0
1114,2019-08-07,49.76,133460000.0
1113,2019-08-08,50.86,108040000.0
1112,2019-08-09,50.25,98480000.0
1111,2019-08-12,50.12,89930000.0
1110,2019-08-13,52.24,190160000.0
1109,2019-08-14,50.69,146190000.0
1108,2019-08-15,50.44,111530000.0
1107,2019-08-16,51.62,115250000.0
1106,2019-08-19,52.59,97730000.0
1105,2019-08-20,52.59,107680000.0
1104,2019-08-21,53.16,86260000.0
1103,2019-08-22,53.12,89070000.0
1102,2019-08-23,50.66,187530000.0
1101,2019-08-26,51.62,104260000.0
1100,2019-08-27,51.04,103590000.0
1099,2019-08-28,51.38,63830000.0
1098,2019-08-29,52.25,84030000.0
1097,2019-08-30,52.19,84650000.0
1096,2019-09-03,51.42,80240000.0
1095,2019-09-04,52.3,76870000.0
1094,2019-09-05,53.32,95790000.0
1093,2019-09-06,53.31,77450000.0
1092,2019-09-09,53.54,109240000.0
1091,2019-09-10,54.17,127110000.0
1090,2019-09-11,55.9,177160000.0
1089,2019-09-12,55.77,128910000.0
1088,2019-09-13,54.69,159050000.0
1087,2019-09-16,54.98,84630000.0
1086,2019-09-17,55.17,73550000.0
1085,2019-09-18,55.69,102570000.0
1084,2019-09-19,55.24,88750000.0
1083,2019-09-20,54.43,231910000.0
1082,2019-09-23,54.68,77680000.0
1081,2019-09-24,54.42,125740000.0
1080,2019-09-25,55.26,89920000.0
1079,2019-09-26,54.97,76350000.0
1078,2019-09-27,54.7,101450000.0
1077,2019-09-30,55.99,105270000.0
1076,2019-10-01,56.15,144750000.0
1075,2019-10-02,54.74,143070000.0
1074,2019-10-03,55.2,121410000.0
1073,2019-10-04,56.75,139020000.0
1072,2019-10-07,56.77,123560000.0
1071,2019-10-08,56.1,117130000.0
1070,2019-10-09,56.76,76120000.0
1069,2019-10-10,57.52,115850000.0
1068,2019-10-11,59.05,167960000.0
1067,2019-10-14,58.97,97650000.0
1066,2019-10-15,58.83,92160000.0
1065,2019-10-16,58.59,77150000.0
1064,2019-10-17,58.82,69090000.0
1063,2019-10-18,59.1,97510000.0
1062,2019-10-21,60.13,89470000.0
1061,2019-10-22,59.99,90740000.0
1060,2019-10-23,60.8,79730000.0
1059,2019-10-24,60.9,71670000.0
1058,2019-10-25,61.65,73480000.0
1057,2019-10-28,62.26,96570000.0
1056,2019-10-29,60.82,142840000.0
1055,2019-10-30,60.81,124520000.0
1054,2019-10-31,62.19,139160000.0
1053,2019-11-01,63.95,151130000.0
1052,2019-11-04,64.38,103270000.0
1051,2019-11-05,64.28,79900000.0
1050,2019-11-06,64.31,75860000.0
1049,2019-11-07,64.86,94940000.0
1048,2019-11-08,65.03,70080000.0
1047,2019-11-11,65.55,82030000.0
1046,2019-11-12,65.49,87390000.0
1045,2019-11-13,66.12,103270000.0
1044,2019-11-14,65.66,89580000.0
1043,2019-11-15,66.44,100370000.0
1042,2019-11-18,66.78,86800000.0
1041,2019-11-19,66.57,76280000.0
1040,2019-11-20,65.8,106440000.0
1039,2019-11-21,65.5,121400000.0
1038,2019-11-22,65.44,65330000.0
1037,2019-11-25,66.59,84120000.0
1036,2019-11-26,66.07,105340000.0
1035,2019-11-27,66.96,65540000.00000001
1034,2019-11-29,66.81,46620000.0
1033,2019-12-02,66.04,94770000.0
1032,2019-12-03,64.86,117510000.0
1031,2019-12-04,65.44,67240000.0
1030,2019-12-05,66.39,74650000.0
1029,2019-12-06,67.68,106190000.0
1028,2019-12-09,66.73,128730000.0
1027,2019-12-10,67.12,90530000.0
1026,2019-12-11,67.69,78890000.0
1025,2019-12-12,67.86,137750000.0
1024,2019-12-13,68.79,133730000.0
1023,2019-12-16,69.97,128320000.0
1022,2019-12-17,70.1,114300000.0
1021,2019-12-18,69.94,116100000.0
1020,2019-12-19,70.0,98510000.0
1019,2019-12-20,69.86,276130000.0
1018,2019-12-23,71.0,98710000.0
1017,2019-12-24,71.07,48480000.0
1016,2019-12-26,72.48,93340000.0
1015,2019-12-27,72.45,146370000.0
1014,2019-12-30,72.88,144240000.0
1013,2019-12-31,73.41,100990000.0
1012,2020-01-02,75.09,135650000.0
1011,2020-01-03,74.36,146540000.0
1010,2020-01-06,74.95,118580000.0
1009,2020-01-07,74.6,111510000.0
1008,2020-01-08,75.8,132360000.0
1007,2020-01-09,77.41,170490000.0
1006,2020-01-10,77.58,140870000.0
1005,2020-01-13,79.24,122090000.0
1004,2020-01-14,78.17,162610000.0
1003,2020-01-15,77.83,121920000.0
1002,2020-01-16,78.81,108830000.0
1001,2020-01-17,79.68,137820000.0
1000,2020-01-21,79.14,110840000.0
999,2020-01-22,79.42,101830000.0
998,2020-01-23,79.81,104470000.0
997,2020-01-24,79.58,146540000.0
996,2020-01-27,77.24,161940000.0
995,2020-01-28,79.42,162230000.0
994,2020-01-29,81.08,216600000.0
993,2020-01-30,80.97,126740000.0
992,2020-01-31,77.38,199590000.0
991,2020-02-03,77.17,173990000.0
990,2020-02-04,79.71,136620000.0
989,2020-02-05,80.36,118830000.0
988,2020-02-06,81.3,105430000.0
987,2020-02-07,80.01,117680000.0
986,2020-02-10,80.39,109350000.0
985,2020-02-11,79.9,94320000.0
984,2020-02-12,81.8,113730000.0
983,2020-02-13,81.22,94750000.0
982,2020-02-14,81.24,80110000.0
981,2020-02-18,79.75,152760000.0
980,2020-02-19,80.91,93980000.0
979,2020-02-20,80.08,100570000.0
978,2020-02-21,78.26,129710000.0
977,2020-02-24,74.55,222200000.0
976,2020-02-25,72.02,230670000.0
975,2020-02-26,73.16,198710000.0
974,2020-02-27,68.38,320610000.0
973,2020-02-28,68.34,426880000.0
972,2020-03-02,74.7,341400000.0
971,2020-03-03,72.33,319480000.0
970,2020-03-04,75.69,219180000.0
969,2020-03-05,73.23,187570000.0
968,2020-03-06,72.26,226180000.0
967,2020-03-09,66.54,286740000.0
966,2020-03-10,71.33,285290000.0
965,2020-03-11,68.86,256380000.0
964,2020-03-12,62.06,418470000.0
963,2020-03-13,69.49,370730000.0
962,2020-03-16,60.55,322420000.0
961,2020-03-17,63.22,324060000.0
960,2020-03-18,61.67,300230000.0
959,2020-03-19,61.2,271860000.0
958,2020-03-20,57.31,401690000.0
957,2020-03-23,56.09,336750000.0
956,2020-03-24,61.72,287530000.0
955,2020-03-25,61.38,303600000.0
954,2020-03-26,64.61,252560000.0
953,2020-03-27,61.94,204220000.0
952,2020-03-30,63.7,167980000.0
951,2020-03-31,63.57,197000000.0
950,2020-04-01,60.23,176220000.0
949,2020-04-02,61.23,165930000.0
948,2020-04-03,60.35,129880000.0
947,2020-04-06,65.62,201820000.0
946,2020-04-07,64.86,202890000.0
945,2020-04-08,66.52,168900000.0
944,2020-04-09,67.0,162120000.0
943,2020-04-13,68.31,131020000.0
942,2020-04-14,71.76,194990000.0
941,2020-04-15,71.11,131150000.0
940,2020-04-16,71.67,157130000.0
939,2020-04-17,70.7,215250000.0
938,2020-04-20,69.23,130020000.0
937,2020-04-21,67.09,180990000.0
936,2020-04-22,69.03,117060000.0
935,2020-04-23,68.76,124810000.0
934,2020-04-24,70.74,126510000.0
933,2020-04-27,70.79,117090000.0
