50.037697	234183.31	1.8274	234390.83	-0.2743	238138.45	-2.3916		1.8148	2294.9573	-1.5032		3.0545	319.11713	-1.282	325.3432	2.904		0.8055	322.23016	-1.2852	2.38056	1.234	1.2208	2.1552
50.0367		1.8364	234390.83		238126.23	-2.3827	235550.52	1.8237		-1.4993		3.0633	319.17816	-1.2733	325.40424	2.9128	322.35223	0.8143	322.2912	-1.2765	2.38056	1.2464	1.2208	2.1722
50.037075	234171.1	1.8458	234378.62		238126.23	-2.3732	235538.31	1.8332	2282.7502	-1.487	2685.5884	3.0758	319.2392	-1.2639			322.41327	0.8238	322.35223	-1.267		1.259	1.2208	2.1723
50.037	234183.31	1.8548	234378.62		238126.23	-2.3643	235538.31	1.8421	2294.9573	-1.4796	2697.7957	3.0814	319.2392	-1.2548	325.40424		322.35223	0.833		-1.2579	2.31952	1.2591	1.2208	2.1992
50.037964	234183.31	1.8641		-0.2376	238138.45	-2.3549	235550.52	1.8515	2294.9573	-1.4665	2685.5884	3.0912	319.17816	-1.2454	325.40424	2.9407	322.35223	0.8424	322.2912	-1.2485	2.31952	1.2735	1.2208	2.2037
50.036774	234183.31	1.8731	234390.83	-0.2287	238138.45	-2.3459	235550.52	1.8605	2282.7502	-1.4597	2685.5884	3.1031	319.17816	-1.2365	325.3432	2.9497	322.2912	0.8514	322.2912	-1.2395	2.31952	1.2812	1.2208	2.2258
50.036972	234183.31	1.8821	234390.83	-0.2197	238138.45	-2.3369	235550.52	1.8695	2282.7502	-1.4507	2685.5884	3.1121	319.11713	-1.2274	325.3432	2.9587	322.2912		322.2912	-1.2305	2.38056	1.2919		2.2199
50.03776	234195.52	1.8912	234403.03	-0.2106	238150.66	-2.3278	235562.72	1.8786	2282.7502	-1.4417		3.1212	319.0561	-1.2182		2.9678	322.2912	0.8694	322.16913			1.3095	1.2208	2.1938
234207.72	1.9002		-0.2016	238150.66	-2.3189	235574.94	1.8875	2294.9573	-1.4342	2697.7957	3.1268			325.09903	2.9768	322.16913	0.8783	322.04703	-1.2125	2.31952	1.3263	1.2208	2.2174
50.03737	234207.72	1.91	234415.25	-0.1918	238150.66	-2.309	235574.94	1.8973	2282.7502		2685.5884		318.81192	-1.1997		2.9868	322.04703	0.8882	321.986	-1.2026	2.38056	1.3403	1.2208	2.2719
50.037346	234207.72	1.9189	234415.25	-0.1828	238162.86	-2.3001	235574.94	1.9063	2294.9573	-1.4118	2685.5884	-3.1371	318.81192	-1.1908	325.038	2.9956	322.04703	0.8971	321.986	-1.1938	2.31952	1.3488	1.2208	2.2637
50.03745	234207.72	1.9279	234415.25	-0.1739	238162.86	-2.2911	235574.94	1.9153	2282.7502	-1.4246	2685.5884	-3.1252	318.81192	-1.182	324.97696	3.0044	321.986	0.9058	321.92496	-1.185	2.31952	1.3531	1.2208	2.2759
