,"('Date', '')","('Close', 'AAPL')","('Close', 'ADBE')","('Close', 'AMD')","('Close', 'AMZN')","('Close', 'ASML')","('Close', 'AVGO')","('Close', 'EBAY')","('Close', 'GOOG')","('Close', 'GOOGL')","('Close', 'INTC')","('Close', 'META')","('Close', 'MSFT')","('Close', 'NFLX')","('Close', 'NVDA')","('Close', 'PLTR')","('Close', 'PYPL')","('Close', 'QCOM')","('Close', 'TSLA')","('High', 'AAPL')","('High', 'ADBE')","('High', 'AMD')","('High', 'AMZN')","('High', 'ASML')","('High', 'AVGO')","('High', 'EBAY')","('High', 'GOOG')","('High', 'GOOGL')","('High', 'INTC')","('High', 'META')","('High', 'MSFT')","('High', 'NFLX')","('High', 'NVDA')","('High', 'PLTR')","('High', 'PYPL')","('High', 'QCOM')","('High', 'TSLA')","('Low', 'AAPL')","('Low', 'ADBE')","('Low', 'AMD')","('Low', 'AMZN')","('Low', 'ASML')","('Low', 'AVGO')","('Low', 'EBAY')","('Low', 'GOOG')","('Low', 'GOOGL')","('Low', 'INTC')","('Low', 'META')","('Low', 'MSFT')","('Low', 'NFLX')","('Low', 'NVDA')","('Low', 'PLTR')","('Low', 'PYPL')","('Low', 'QCOM')","('Low', 'TSLA')","('Open', 'AAPL')","('Open', 'ADBE')","('Open', 'AMD')","('Open', 'AMZN')","('Open', 'ASML')","('Open', 'AVGO')","('Open', 'EBAY')","('Open', 'GOOG')","('Open', 'GOOGL')","('Open', 'INTC')","('Open', 'META')","('Open', 'MSFT')","('Open', 'NFLX')","('Open', 'NVDA')","('Open', 'PLTR')","('Open', 'PYPL')","('Open', 'QCOM')","('Open', 'TSLA')","('Volume', 'AAPL')","('Volume', 'ADBE')","('Volume', 'AMD')","('Volume', 'AMZN')","('Volume', 'ASML')","('Volume', 'AVGO')","('Volume', 'EBAY')","('Volume', 'GOOG')","('Volume', 'GOOGL')","('Volume', 'INTC')","('Volume', 'META')","('Volume', 'MSFT')","('Volume', 'NFLX')","('Volume', 'NVDA')","('Volume', 'PLTR')","('Volume', 'PYPL')","('Volume', 'QCOM')","('Volume', 'TSLA')"
0,2020-01-02,72.71607971191406,334.42999267578125,49.099998474121094,94.90049743652344,289.4843444824219,27.98617935180664,33.29487991333008,68.12371826171875,68.18681335449219,53.66646194458008,208.98170471191406,153.32321166992188,329.80999755859375,5.972710609436035,,110.75,79.38449096679688,28.68400001525879,72.77660582997152,334.4800109863281,49.25,94.90049743652344,289.95277014187377,27.995729660429333,33.47832348150087,68.16207835141533,68.18681335449219,53.78113481370012,208.9916611857842,153.42821507782543,329.9800109863281,5.972710609436035,,111.20999908447266,80.38697422100545,28.713333129882812,71.46681974859514,329.1700134277344,46.630001068115234,93.2074966430664,287.36217816263417,27.546062121237366,33.148125758572455,66.83734009724846,67.08132380627873,53.11956600440545,205.4850670923298,151.1372501706934,324.7799987792969,5.893293961011548,,109.2750015258789,78.83849269631327,28.11400032043457,71.7210264890596,330.0,46.86000061035156,93.75,287.9930956277252,27.719678055920028,33.395774050768765,66.83734009724846,67.176977721624,53.137208243109534,205.9632362503966,151.5668042700807,326.1000061035156,5.943831871358628,,109.47000122070312,79.70671967819392,28.299999237060547,135480400,1990100,80331100,80580000,573600,20329000,4979300,28132000,27278000,18056000,12077100,22622100,4485800,237536000,,7418800,8413900,142981500
1,2020-01-03,72.00912475585938,331.80999755859375,48.599998474121094,93.74849700927734,284.8194580078125,27.27435302734375,32.98302459716797,67.78942108154297,67.83010864257812,53.01371765136719,207.87591552734375,151.41412353515625,325.8999938964844,5.877111911773682,,108.76000213623047,77.88969421386719,29.534000396728516,72.7717522953066,332.9800109863281,49.38999938964844,94.30999755859375,287.4960513051731,27.778709681923413,33.11143403626489,68.37930442399039,68.43940351728152,53.54297476845825,209.5993278476401,152.68370535175205,329.8599853515625,5.920928372082976,,110.41999816894531,78.44464510108811,30.266666412353516,71.78396939069293,328.69000244140625,47.540000915527344,93.2249984741211,284.5422300393676,27.26480437405493,32.81792574721627,67.03632869883518,67.12267404619415,52.75791357793213,206.1624596803162,150.87956583671692,325.5299987792969,5.828067391556445,,108.76000213623047,77.37055409945849,29.128000259399414,71.94133580542943,329.1700134277344,48.029998779296875,93.2249984741211,284.90548823815493,27.56255612035779,32.94633518631319,67.15171305828703,67.15655543577822,52.75791357793213,206.42147999252987,151.12776374356721,326.7799987792969,5.852963118433237,,109.48999786376953,78.10451787731634,29.366666793823242,146322800,1577600,73127400,75288000,410800,22870000,3960900,23728000,23408000,15293900,11188400,21116200,3806900,205384000,,7098300,8340300,266677500
2,2020-01-06,72.58290100097656,333.7099914550781,48.38999938964844,95.14399719238281,282.5539245605469,27.233552932739258,32.81792449951172,69.46092224121094,69.63805389404297,52.86376190185547,211.79098510742188,151.8054962158203,335.8299865722656,5.901757717132568,,110.16999816894531,77.43321990966797,30.1026668548584,72.62163859417052,333.9100036621094,48.86000061035156,95.18450164794922,282.6877688335329,27.250915024084716,32.8546139089716,69.57500664769613,69.66345923216974,53.10192709190934,211.9702928450579,151.8723232086729,336.3599853515625,5.906985776484988,,110.22000122070312,77.46902385848465,30.104000091552734,70.87606782262263,328.19000244140625,47.86000061035156,93.0,279.5427493178827,26.878505946703417,32.52441622162199,67.2583337483084,67.30600805367692,52.33450816723343,205.734119913227,149.3999720884019,321.20001220703125,5.757612380789321,,107.44000244140625,76.56499293035206,29.333332061767578,71.12785848416316,328.2900085449219,48.02000045776367,93.0,280.25015772582464,26.984412054726448,32.81792449951172,67.2583337483084,67.33738843542059,52.563850554926134,205.91342765086304,149.94408480527218,323.1199951171875,5.783752677551418,,107.56999969482422,76.89617433522766,29.364667892456055,118387200,1874700,47934900,81236000,617600,20789000,5866000,34646000,46768000,17755200,17058900,20813700,5663100,262636000,,6764500,8381400,151995000
3,2020-01-07,72.2415542602539,333.3900146484375,48.25,95.34300231933594,285.6224060058594,27.13979721069336,32.67116928100586,69.4175796508789,69.50354766845703,51.98167037963867,212.2492218017578,150.42135620117188,330.75,5.973207473754883,,109.66999816894531,79.63510131835938,31.270666122436523,72.84923143823697,334.7900085449219,49.38999938964844,95.69450378417969,287.94530949923006,27.48182342147374,32.744548097500946,69.89835039114612,69.92153470711604,52.749089308430015,213.76344186963544,152.4164068417858,336.70001220703125,6.0190154287799675,,111.55999755859375,80.10053893539477,31.441999435424805,72.02123831231323,332.30999755859375,48.040000915527344,94.60199737548828,284.30321760043626,27.105942295014284,32.42352102367675,69.2701069019076,69.32669091744489,51.946385899831135,210.94420929091677,150.1731728919405,330.29998779296875,5.885076936102935,,109.52999877929688,77.79124257897102,30.224000930786133,72.59260129853506,334.1499938964844,49.349998474121094,95.2249984741211,285.507699044114,27.36636701587793,32.717029291868016,69.6467595551646,69.77008329725511,52.73144706852624,212.01014482311425,152.0823156061593,336.4700012207031,5.930137957778919,,111.5,77.90760027600385,30.760000228881836,108872000,2500800,58061400,80898000,477700,18565000,6867400,30054000,34330000,21876100,14912400,21634100,4703200,314856000,,6898700,8377400,268231500
4,2020-01-08,73.40363311767578,337.8699951171875,47.83000183105469,94.59850311279297,288.58575439453125,26.801246643066406,32.6528205871582,69.96461486816406,69.99825286865234,52.0169563293457,214.4010009765625,152.81732177734375,339.260009765625,5.984411239624023,,111.81999969482422,79.40238952636719,32.80933380126953,73.70626361557562,339.2300109863281,48.29999923706055,95.55000305175781,289.82845186623945,27.213587193458817,33.09308643454524,70.32631421540323,70.3375228813182,52.3256871241028,215.41712371504224,153.4950738351807,342.70001220703125,6.025738074340732,,112.63999938964844,80.08265089807998,33.232666015625,71.94374389134458,333.3999938964844,47.13999938964844,94.3219985961914,286.7216790142972,26.772599027640226,32.625305283781806,69.29302434643913,69.37999541559134,51.620014332577085,211.80093248741233,150.7745396996867,331.04998779296875,5.928894094117327,,109.81999969482422,78.69527690018897,31.215333938598633,71.94374389134458,333.80999755859375,47.849998474121094,94.9020004272461,287.4099498591728,27.169314358591137,32.75371469806381,69.35479884560189,69.48909698901235,51.946387367736484,212.1894477696659,151.71001553116633,331.489990234375,5.96897588148792,,110.4000015258789,79.57245657652163,31.579999923706055,132079200,2248500,53767000,70160000,536900,31979000,6072600,30560000,35314000,23133500,13475000,27746500,7104500,277108000,,8293600,7619900,467164500
5,2020-01-09,74.9627914428711,340.45001220703125,48.970001220703125,95.05249786376953,288.0982971191406,26.585960388183594,32.267601013183594,70.7373275756836,70.73309326171875,52.30805206298828,217.46929931640625,154.72650146484375,335.6600036621094,6.050136089324951,,112.56999969482422,80.47647857666016,32.089332580566406,75.15647202012606,341.80999755859375,49.959999084472656,95.89099884033203,290.5167997676901,27.170181657265427,32.515249306785606,71.11098495046218,71.17598393013975,52.493290565266555,217.54899671402546,154.8506004292795,343.4200134277344,6.122582464697482,,113.55999755859375,81.20148968239086,33.253334045410156,74.13237506994084,338.19000244140625,48.38999938964844,94.79000091552734,287.0371992477042,26.307305953383718,32.074986840013715,70.26103453568517,70.2558194812113,51.89347113382936,215.45698182851288,153.71465793650782,334.6099853515625,5.996361626623483,,111.58999633789062,79.50979254974973,31.524667739868164,74.38415834268419,340.1400146484375,48.939998626708984,95.49449920654297,289.9145589721018,27.112020474996,32.23091159956217,70.77419765762687,70.83970143414861,52.087529075062605,216.71218163938585,154.48785857360957,342.0,6.070799508067486,,112.98999786376953,80.25270904240706,33.13999938964844,170108400,1626300,76512800,63346000,579700,42397000,10787300,30018000,33200000,18813300,12642800,21385000,4709300,255112000,,5944700,9155500,426606000
6,2020-01-10,75.13226318359375,339.80999755859375,48.16999816894531,94.15799713134766,283.1274719238281,25.974824905395508,32.0015983581543,71.2305679321289,71.18992614746094,51.99048614501953,217.23019409179688,154.01052856445312,329.04998779296875,6.082499980926514,,112.93000030517578,80.78974914550781,31.876667022705078,75.69879404161257,343.3599853515625,49.290000915527344,95.34700012207031,287.26666708336217,26.524321884799257,32.31345128206283,71.48958599528463,71.48784974028622,52.99607355903001,219.04327557723664,155.80512725217918,338.5,6.1878085769213,,113.70999908447266,82.69626299119255,32.3293342590332,74.62868922900458,339.6199951171875,48.0,94.0,282.5347997161325,25.938363859988364,31.909878350666965,70.66360482018497,70.72362186567442,51.9287399921741,216.59263014981522,153.85779366217815,327.2699890136719,6.068309669696577,,112.2699966430664,80.44066924177544,31.579999923706055,75.19763610714092,342.04998779296875,49.2599983215332,95.26850128173828,286.826918074758,26.515640841201343,32.295106580786566,71.1224511531256,71.21533908846308,52.54620488554135,218.36585533847426,155.4233045620937,337.1300048828125,6.157435973615166,,113.63999938964844,81.0135186647672,32.11933135986328,140644800,1480400,44133700,57074000,447700,40705000,5664400,36414000,26258000,15200600,12119400,20725900,4718300,316296000,,6965100,9668300,194392500
7,2020-01-13,76.73744201660156,345.6300048828125,48.75,94.56500244140625,288.16522216796875,26.144975662231445,31.85485076904297,71.70386505126953,71.7414321899414,52.56386184692383,221.0655517578125,155.8624267578125,338.9200134277344,6.2732014656066895,,115.27999877929688,81.4252700805664,34.990665435791016,76.76407735420467,345.7300109863281,48.86000061035156,94.9000015258789,288.32771399442885,26.37241310419126,32.00160491040666,71.76813303326296,71.81366484523728,52.73145811374483,221.1253210028928,155.89106273635204,340.8500061035156,6.2983460126438064,,115.87999725341797,83.00060972398641,35.04199981689453,75.33081543031717,341.2200012207031,48.2400016784668,94.04000091552734,284.3892855313379,26.013894021578032,31.698926024610486,71.04573020325485,71.01107809709713,52.11399641234436,218.3758293241344,153.9341883310565,331.510009765625,6.142997129096606,,113.86000061035156,81.04933885180071,32.79999923706055,75.44945166218767,341.5400085449219,48.65999984741211,94.56549835205078,285.51727636830475,26.04427851010409,31.96491550034206,71.54942119958059,71.50328944184061,52.19338146116965,218.76434461787986,154.4114740608552,331.79998779296875,6.165652530748785,,113.9800033569336,81.4968779800185,32.900001525878906,121532000,2069200,34266800,55616000,405700,22054000,7987600,33046000,30730000,16453300,14463400,21626500,6290000,319840000,,9652500,10367800,397764000
8,2020-01-14,75.70120239257812,344.6300048828125,48.209999084472656,93.47200012207031,289.2167053222656,26.752639770507812,32.423526763916016,71.28784942626953,71.2711410522461,52.422725677490234,218.2263641357422,154.76467895507812,338.69000244140625,6.156191349029541,,114.63999938964844,81.05828857421875,35.861331939697266,76.88509646087522,347.2699890136719,49.040000915527344,94.35549926757812,292.41907771413383,26.836844107474192,32.44187147128752,71.83189220822926,71.8709640363411,52.69617539763544,221.53373716296272,156.16790019811782,345.3800048828125,6.255773770874894,,115.58999633789062,81.99812351975446,36.49399948120117,75.57773417210761,343.1499938964844,47.90999984741211,92.92749786376953,285.31652247050755,26.180571506234074,31.653066548788548,71.16280282918358,71.13064389247113,52.21102212561752,217.79800779827056,154.37330115192177,335.5199890136719,6.142996316064619,,114.12000274658203,80.81662043820111,34.99333190917969,76.67446681398555,347.010009765625,48.63999938964844,94.29399871826172,285.96654808368754,26.216163303218288,31.799820708865436,71.69289579622128,71.73993876603046,52.47565240668686,220.7666631438772,155.96743377813863,344.3999938964844,6.23037993278298,,115.51499938964844,81.5684829315053,36.284000396728516,161954400,2274400,38563200,68818000,609600,28911000,7227300,31178000,26076000,17051200,13288900,23477400,7199400,359088000,,7182000,7800100,434943000
9,2020-01-15,75.37677764892578,342.94000244140625,48.54999923706055,93.10099792480469,286.85552978515625,26.315114974975586,32.40517807006836,71.70236206054688,71.7000732421875,51.99048614501953,220.3084259033203,155.76698303222656,339.07000732421875,6.113619804382324,,114.8499984741211,80.26165771484375,34.56666564941406,76.38393276791417,347.5,49.08000183105469,93.94300079345703,289.5990740426784,26.726587869708244,32.76289103394562,71.81171796918126,71.77879025901605,52.61677384017211,220.83640781614022,156.49246675314848,343.1700134277344,6.191294240174743,,115.94999694824219,81.61322766110908,35.85599899291992,74.94340873498187,342.4599914550781,48.119998931884766,92.75450134277344,286.5400856461102,26.10330278997291,32.1483557250866,71.25447036301387,71.32443609399188,51.822889925140935,219.3022748469645,155.18470835290648,336.6000061035156,6.087728325784851,,114.61000061035156,79.88572652308396,34.452667236328125,75.50025324844553,346.4200134277344,48.22999954223633,93.61250305175781,288.3085624012301,26.67710773793972,32.49689808684404,71.25447036301387,71.39219126260538,52.308039711032,219.7704875169328,155.23242527929864,338.67999267578125,6.168888134663605,,115.13999938964844,81.22834377557277,35.31733322143555,121923600,2213300,40199900,57932000,505300,22733000,10966000,25654000,21550000,18498800,10036500,21417900,5158000,263104000,,5955200,7259100,260532000
