,"('Date', '')","('Close', 'AAPL')","('Close', 'AMD')","('Close', 'AMZN')","('Close', 'ASML')","('Close', 'GOOG')","('Close', 'GOOGL')","('Close', 'META')","('Close', 'MSFT')","('Close', 'NFLX')","('Close', 'NVDA')","('Close', 'TSLA')","('High', 'AAPL')","('High', 'AMD')","('High', 'AMZN')","('High', 'ASML')","('High', 'GOOG')","('High', 'GOOGL')","('High', 'META')","('High', 'MSFT')","('High', 'NFLX')","('High', 'NVDA')","('High', 'TSLA')","('Low', 'AAPL')","('Low', 'AMD')","('Low', 'AMZN')","('Low', 'ASML')","('Low', 'GOOG')","('Low', 'GOOGL')","('Low', 'META')","('Low', 'MSFT')","('Low', 'NFLX')","('Low', 'NVDA')","('Low', 'TSLA')","('Open', 'AAPL')","('Open', 'AMD')","('Open', 'AMZN')","('Open', 'ASML')","('Open', 'GOOG')","('Open', 'GOOGL')","('Open', 'META')","('Open', 'MSFT')","('Open', 'NFLX')","('Open', 'NVDA')","('Open', 'TSLA')","('Volume', 'AAPL')","('Volume', 'AMD')","('Volume', 'AMZN')","('Volume', 'ASML')","('Volume', 'GOOG')","('Volume', 'GOOGL')","('Volume', 'META')","('Volume', 'MSFT')","('Volume', 'NFLX')","('Volume', 'NVDA')","('Volume', 'TSLA')"
0,2020-01-02,72.71607971191406,49.099998474121094,94.90049743652344,289.4844055175781,68.12372589111328,68.18681335449219,208.98170471191406,153.3232421875,329.80999755859375,5.972710132598877,28.68400001525879,72.77660582997152,49.25,94.90049743652344,289.95283127579336,68.16208598510593,68.18681335449219,208.9916611857842,153.4282456163035,329.9800109863281,5.972710132598877,28.713333129882812,71.46681974859514,46.630001068115234,93.2074966430664,287.36223875035085,66.83734758257737,67.08132380627873,205.4850670923298,151.13728025317593,324.7799987792969,5.8932934905146945,28.11400032043457,71.7210264890596,46.86000061035156,93.75,287.99315634846516,66.83734758257737,67.176977721624,205.9632362503966,151.56683443806205,326.1000061035156,5.943831396827032,28.299999237060547,135480400,80331100,80580000,573600,28132000,27278000,12077100,22622100,4485800,237536000,142981500
1,2020-01-03,72.0091323852539,48.599998474121094,93.74849700927734,284.81939697265625,67.78942108154297,67.83010864257812,207.8759307861328,151.4141082763672,325.8999938964844,5.877111911773682,29.534000396728516,72.77176000550182,49.38999938964844,94.30999755859375,287.49598969643847,68.37930442399039,68.43940351728152,209.5993432329334,152.68368996502065,329.8599853515625,5.920928372082976,30.266666412353516,71.78397699623217,47.540000915527344,93.2249984741211,284.5421690636197,67.03632869883518,67.12267404619415,206.16247481333184,150.87955063179803,325.5299987792969,5.828067391556445,29.128000259399414,71.9413434276417,48.029998779296875,93.2249984741211,284.9054271845629,67.15171305828703,67.15655543577822,206.4214951445585,151.12774851363613,326.7799987792969,5.852963118433237,29.366666793823242,146322800,73127400,75288000,410800,23728000,23408000,11188400,21116200,3806900,205384000,266677500
2,2020-01-06,72.5828857421875,48.38999938964844,95.14399719238281,282.553955078125,69.46092224121094,69.63805389404297,211.79098510742188,151.8054656982422,335.8299865722656,5.90175724029541,30.1026668548584,72.62162332723783,48.86000061035156,95.18450164794922,282.687799365567,69.57500664769613,69.66345923216974,211.9702928450579,151.87229267766048,336.3599853515625,5.906985299225425,30.104000091552734,70.87605292265371,47.86000061035156,93.0,279.54277951023516,67.2583337483084,67.30600805367692,205.734119913227,149.39994205440817,321.20001220703125,5.757611915598499,29.333332061767578,71.12784353126138,48.02000045776367,93.0,280.25018799458167,67.2583337483084,67.33738843542059,205.91342765086304,149.94405466189505,323.1199951171875,5.78375221024857,29.364667892456055,118387200,47934900,81236000,617600,34646000,46768000,17058900,20813700,5663100,262636000,151995000
3,2020-01-07,72.2415542602539,48.25,95.34300231933594,285.6224670410156,69.4175796508789,69.50354766845703,212.2492218017578,150.42132568359375,330.75,5.973208904266357,31.270666122436523,72.84923143823697,49.38999938964844,95.69450378417969,287.94537103077164,69.89835039114612,69.92153470711604,213.76344186963544,152.4163759194506,336.70001220703125,6.019016870261898,31.441999435424805,72.02123831231323,48.040000915527344,94.60199737548828,284.3032783536928,69.2701069019076,69.32669091744489,210.94420929091677,150.17314242471397,330.29998779296875,5.885078345508204,30.224000930786133,72.59260129853506,49.349998474121094,95.2249984741211,285.50776005475836,69.6467595551646,69.77008329725511,212.01014482311425,152.0822847516047,336.4700012207031,5.930139377975761,30.760000228881836,108872000,58061400,80898000,477700,30054000,34330000,14912400,21634100,4703200,314856000,268231500
4,2020-01-08,73.40363311767578,47.83000183105469,94.59850311279297,288.5858459472656,69.96461486816406,69.99825286865234,214.4010009765625,152.81735229492188,339.260009765625,5.984411716461182,32.80933380126953,73.70626361557562,48.29999923706055,95.55000305175781,289.8285438132149,70.32631421540323,70.3375228813182,215.41712371504224,153.49510448810574,342.70001220703125,6.0257385544708075,33.232666015625,71.94374389134458,47.13999938964844,94.3219985961914,286.7217699756607,69.29302434643913,69.37999541559134,211.80093248741233,150.7745698093218,331.04998779296875,5.928894566530886,31.215333938598633,71.94374389134458,47.849998474121094,94.9020004272461,287.41004103888764,69.35479884560189,69.48909698901235,212.1894477696659,151.71004582761572,331.489990234375,5.96897635709519,31.579999923706055,132079200,53767000,70160000,536900,30560000,35314000,13475000,27746500,7104500,277108000,467164500
5,2020-01-09,74.9627914428711,48.970001220703125,95.05249786376953,288.0982971191406,70.73733520507812,70.73308563232422,217.4692840576172,154.72650146484375,335.6600036621094,6.050136566162109,32.089332580566406,75.15647202012606,49.959999084472656,95.89099884033203,290.5167997676901,71.11099262015763,71.17597625297427,217.5489814496444,154.8506004292795,343.4200134277344,6.122582947244449,33.253334045410156,74.13237506994084,48.38999938964844,94.79000091552734,287.0371992477042,70.26104211370898,70.25581190329635,215.45696671091858,153.71465793650782,334.6099853515625,5.996362099222445,31.524667739868164,74.38415834268419,48.939998626708984,95.49449920654297,289.9145589721018,70.77420529099804,70.83969379325514,216.7121664337201,154.48785857360957,342.0,6.070799986533216,33.13999938964844,170108400,76512800,63346000,579700,30018000,33200000,12642800,21385000,4709300,255112000,426606000
6,2020-01-10,75.13225555419922,48.16999816894531,94.15799713134766,283.1274108886719,71.2305679321289,71.18993377685547,217.23019409179688,154.01055908203125,329.04998779296875,6.08250093460083,31.876667022705078,75.69878635468899,49.290000915527344,95.34700012207031,287.26660515589964,71.48958599528463,71.48785740160909,219.04327557723664,155.8051581253616,338.5,6.187809547106936,32.3293342590332,74.62868165074606,48.0,94.0,282.5347388087415,70.66360482018497,70.72362944509531,216.59263014981522,153.85782414949148,327.2699890136719,6.068310621145995,31.579999923706055,75.19762847110803,49.2599983215332,95.26850128173828,286.82685624209427,71.1224511531256,71.21534672058111,218.36585533847426,155.423335359617,337.1300048828125,6.1574369390386865,32.11933135986328,140644800,44133700,57074000,447700,36414000,26258000,12119400,20725900,4718300,316296000,194392500
7,2020-01-13,76.7374267578125,48.75,94.56500244140625,288.165283203125,71.70386505126953,71.74143981933594,221.0655517578125,155.86241149902344,338.9200134277344,6.2732014656066895,34.990665435791016,76.76406209011934,48.86000061035156,94.9000015258789,288.32777506400186,71.76813303326296,71.81367248231345,221.1253210028928,155.89104747475955,340.8500061035156,6.2983460126438064,35.04199981689453,75.33080045122755,48.2400016784668,94.04000091552734,284.3893457667277,71.04573020325485,71.01108564882162,218.3758293241344,153.93417326104023,331.510009765625,6.142997129096606,32.79999923706055,75.44943665950792,48.65999984741211,94.56549835205078,285.5173368426099,71.54942119958059,71.50329704590968,218.76434461787986,154.41145894411306,331.79998779296875,6.165652530748785,32.900001525878906,121532000,34266800,55616000,405700,33046000,30730000,14463400,21626500,6290000,319840000,397764000
8,2020-01-14,75.70121002197266,48.209999084472656,93.47200012207031,289.21673583984375,71.28785705566406,71.2711410522461,218.22637939453125,154.76467895507812,338.69000244140625,6.156191349029541,35.861331939697266,76.88510420958616,49.040000915527344,94.35549926757812,292.41910856962,71.83189989584855,71.8709640363411,221.5337526530094,156.16790019811782,345.3800048828125,6.255773770874894,36.49399948120117,75.57774178905865,47.90999984741211,92.92749786376953,285.31655257654603,71.16281044519533,71.13064389247113,217.79802302710817,154.37330115192177,335.5199890136719,6.142996316064619,34.99333190917969,76.6744745414686,48.63999938964844,94.29399871826172,285.96657825831545,71.69290346896483,71.73993876603046,220.76667858028864,155.96743377813863,344.3999938964844,6.23037993278298,36.284000396728516,161954400,38563200,68818000,609600,31178000,26076000,13288900,23477400,7199400,359088000,434943000
9,2020-01-15,75.37681579589844,48.54999923706055,93.10099792480469,286.8555908203125,71.7023696899414,71.70008087158203,220.30844116210938,155.7669677734375,339.07000732421875,6.113619804382324,34.56666564941406,76.3839714245918,49.08000183105469,93.94300079345703,289.59913566158724,71.81172561021167,71.77879789678663,220.83642311149785,156.4924514232917,343.1700134277344,6.191294240174743,35.85599899291992,74.9434466626335,48.119998931884766,92.75450134277344,286.5401466141484,71.25447794475107,71.32444368341595,219.30229003606652,155.18469315115652,336.6000061035156,6.087728325784851,34.452667236328125,75.5002914579072,48.22999954223633,93.61250305175781,288.30862374555267,71.25447794475107,71.39219885923909,219.7705027384637,155.23241007287436,338.67999267578125,6.168888134663605,35.31733322143555,121923600,40199900,57932000,505300,25654000,21550000,10036500,21417900,5158000,263104000,260532000
